"_airbyte_ab_id","_airbyte_emitted_at","_ab_cdc_deleted_at","_ab_cdc_lsn","_ab_cdc_updated_at","comment","groupSideEffect","value"
"0f0a732b-6288-4316-b9e2-47a53519e0b7",1709851645204,"","","","{""en"": ""Thinning hair"", ""es"": ""Adelgazamiento del cabello""}","general","thinninghair"
"4cf2050e-06f7-4cbe-aaf7-596618dac2d8",1709851645204,"","","","{""en"": ""Low red blood cell count"", ""es"": ""Recuento bajo de glóbulos blancos""}","general","lowwhitebloodcellcount"
"42a3599e-12b6-438a-82c7-d9ee4a9da9c6",1709851645204,"","","","{""en"": ""Muscle pain"", ""es"": ""Dolor muscular""}","general","musclepain"
"262c5dbf-5ed3-4bbb-afe4-dff94467936f",1709851645204,"","","","{""en"": ""Confusion"", ""es"": ""Confusión""}","general","confusion"
"372ab9a0-9121-440b-a2a8-7fc59ac68a72",1709851645204,"","","","{""en"": ""Painful swelling in legs"", ""es"": ""Hinchazón dolorosa en piernas""}","general","painfullegs"
"adc80053-ff6b-433d-a5b5-6f2735ee8da2",1709851645204,"","","","{""en"": ""Rash"", ""es"": ""Sarpullido""}","general","rash"
"539ddd3c-ee04-4732-b9ae-c8f484149f8c",1709851645204,"","","","{""en"": ""Nausea"", ""es"": ""Náuseas""}","general","nausea"
"3d4d463b-0820-446a-9ad0-5d16d877545d",1709851645204,"","","","{""en"": ""Throat tingling"", ""es"": ""Hormigueo en la garganta""}","general","throattingling"
"f5b02beb-cca9-4259-9322-b26002f6bb5e",1709851645204,"","","","{""en"": ""Chest pain"", ""es"": ""Dolor en pecho""}","general","chestpain"
"659e62d1-894a-4f97-8bb3-bdb8b203e607",1709851645204,"","","","{""en"": ""Fever"", ""es"": ""Fiebre""}","general","fever"
"a6916f01-2eec-4d61-a7c4-56acb6c7e442",1709851645204,"","","","{""en"": ""Cough"", ""es"": ""Tos""}","general","cough"
